num_nodes,graph_depth
103.0,7.0
392.0,18.0
392.0,18.0
392.0,18.0
392.0,18.0
388.0,19.0
388.0,18.0
388.0,18.0
102.0,7.0
6.0,3.0
2078.0,87.0
535.0,17.0
6.0,3.0
2078.0,87.0
536.0,17.0
6.0,3.0
2078.0,87.0
529.0,17.0
534.0,17.0
532.0,17.0
532.0,17.0
534.0,17.0
537.0,17.0
541.0,17.0
550.0,17.0
547.0,17.0
543.0,18.0
539.0,17.0
536.0,17.0
535.0,17.0
537.0,17.0
537.0,17.0
536.0,17.0
541.0,17.0
536.0,17.0
538.0,17.0
537.0,17.0
531.0,17.0
538.0,17.0
538.0,18.0
538.0,17.0
535.0,17.0
539.0,18.0
563.0,18.0
535.0,18.0
550.0,18.0
542.0,17.0
6.0,3.0
2078.0,87.0
6.0,3.0
2079.0,87.0
544.0,17.0
